18899035	(-0.7129228,52.6127774)	Kingfisher Inn
18946234	(-1.4812502,51.7905597)	The Old Court Hotel
19042306	(-0.5041669,51.0246538)	The Cricketers' Arms
19042307	(-0.4894024,51.0322353)	The Bat and Ball Country Pub and Haywards Restaurant
19042308	(-0.4720856,51.0187097)	The Limeburners
19042432	(-0.5151818,51.0702987)	The Onslow Arms
19049213	(-2.3057235,51.1167039)	Red Lion
19447080	(-2.2192609,52.1983475)	The Arboretum (closed)
19577088	(-0.6667406,52.7115525)	The Sun Inn
19683408	(-2.7966517,53.1142804)	The Calveley Arms
19794398	(-0.1199355,52.3330211)	Three Horseshoes Inn
19809385	(-1.9793208,50.8195042)	The Stocks Inn
19826194	(-1.9462430,50.8665906)	Drusilla's Inn
19828422	(-0.4224129,51.3902487)	The Anglers
19854379	(1.1108742,52.0018518)	Tattingstone White Horse
19854380	(1.0983395,51.9894571)	The Wheatsheaf
20081080	(0.1472088,52.1442633)	The Three Horseshoes
20081192	(0.1481958,52.1433358)	The Rose
20081193	(0.1518962,52.1439942)	The Tree
20081223	(0.1355124,52.1503748)	The Plough
20081226	(0.1337443,52.1487948)	Square and Compasses
20215346	(1.1502785,52.0330594)	The Oyster Reach
20255666	(-3.0777169,53.1023665)	Cross Keys
20256587	(1.1569343,51.9849863)	The Swan
20458787	(0.1422292,52.1984389)	Earl of Beaconsfield
20458870	(0.1472394,52.1991085)	The Empress
20557809	(-0.2868506,51.2330833)	The Royal Oak
20574414	(-0.6098377,51.4862890)	Waterman's Arms
20590656	(-0.3245916,51.2529461)	The Stepping Stones
20599415	(-0.2118839,51.2386490)	Blue Anchor
20600035	(-0.3123369,51.2381874)	The Watermill
20605659	(-0.2661495,51.2336498)	The Dolphin Inn
20611278	(-0.2403384,51.2429995)	The Pheasant at Buckland
20627020	(-0.3275202,51.2953245)	The Edmund Tylney
20627140	(-1.1325153,52.6588567)	The Tom Hoskins
20627144	(-1.1333969,52.6579348)	The Broadway
20629052	(-0.2836248,51.2400532)	The Arkle Manor
20632762	(-2.8088838,53.0570715)	The Carden Arms
20632853	(-2.8256183,53.0815543)	Cock o' Barton
20692145	(-0.3302001,51.2954954)	The Penny Black
20821133	(-0.1777428,51.5004234)	The Union Bar
20822359	(-0.2053223,51.2372020)	The Bell
20823843	(0.1303831,52.2047799)	The Free Press
20823855	(0.1294263,52.2051547)	The Elm Tree
20826694	(0.1391899,52.2023787)	Cambridge Blue
20826845	(0.1365861,52.2048500)	The Blue Moon
20827166	(0.1392595,52.1993383)	White Swan
20830219	(-0.6883858,51.5745556)	The Chequers Inn
20832304	(-1.2954798,50.9466899)	Brigadier Gerard
20833455	(-1.1256992,52.6596890)	The Talbot
20834055	(-1.1233088,52.6597841)	The Belgrave
20834726	(-2.9213748,53.2713992)	The Sir Robert
20835180	(-2.9230582,53.2656006)	The Straw Hat
20835200	(-1.1266324,52.6438921)	The Bridle Lane Tavern
20838774	(1.1609088,52.0535354)	The Lord Nelson
20841511	(1.2348837,52.0659520)	The Bell Inn
20849502	(-1.2026228,52.7785341)	Boat Inn
20849552	(-1.2138650,52.7774106)	Albion Inn
20909282	(-1.1731221,52.7439916)	Quorndon Fox
20916314	(-2.9425254,53.2767691)	The Marquis
20917661	(1.2755727,51.9573495)	The Shipwreck
20921875	(0.1181145,52.2089164)	Baron of Beef
20921876	(0.1182051,52.2088653)	The Mitre
20922152	(0.1244235,52.2072930)	Champion of the Thames
20922155	(0.1270116,52.1999879)	Prince Regent
20922157	(0.1236555,52.2030223)	The Castle Bar
20922158	(0.1237449,52.2029403)	The Regal
20922173	(0.1219277,52.2072198)	Stolen
20923611	(-1.1221236,52.6508082)	The Balmoral
20927195	(-0.6497371,51.5677757)	Blackwood Arms
20937259	(-1.1358002,52.6375451)	Cherry Tree
20940218	(0.1254885,52.2141817)	The Waterman
20940219	(0.1120899,52.2134535)	Sir Isaac Newton
20940220	(0.1132470,52.2105324)	The Punter
20940431	(0.1141884,52.2157657)	Carpenters Arms
20942053	(-0.9055833,51.2852773)	The Winchfield Inn
